reserva_id,codigo_reserva,numero_ticket,vuelo_id,pasaporte_comprador,nombre_comprador,nacionalidad_comprador,fecha_nacimiento_comprador,numero_asiento,clase,comida_y_maleta,pasaporte_pasajero,nombre_pasajero,nacionalidad_pasajero,fecha_nacimiento_pasajero
4727,LUD7177-4727,420,121,Z09262256,Joseph Wilson,Uruguaya,28-07-1993,10,Economica,FALSO,X66304032,Victoria Odom,Francesa,04-12-1986
4186,LAT2175-4186,8535,132,T33834498,Alejandro Allen,Chilena,20-05-1992,22,Economica,FALSO,M25657749,Casey Bennett,Estadounidense,12-03-1984
1749,KAI7891-1749,9823,133,I63697476,Emily Sullivan,Venezolana,25-07-1991,14,Economica,FALSO,I63697476,Emily Sullivan,Venezolana,25-07-1991
736,XLE3285-0736,6672,125,D64763364,James Johnson,Chilena,09-06-1994,30,Ejecutiva,FALSO,J46009647,Erica Ochoa,Italiana,11-03-1994
894,XLE7933-0894,681,95,S05106445,Gregory Andrade,Mexicana,20-12-1984,8,Ejecutiva,VERDADERO,H44001820,Ann Robertson,Venezolana,27-04-1998
1995,LAT5532-1995,8911,100,M25657749,Casey Bennett,Estadounidense,12-03-1984,6,Economica,FALSO,M25657749,Casey Bennett,Estadounidense,12-03-1984
3294,ETA6742-3294,5384,120,N07672370,Kevin Wilson,Uruguaya,11-09-1986,20,Primera clase,VERDADERO,N07672370,Kevin Wilson,Uruguaya,11-09-1986
2500,IBE8751-2500,7720,124,T59160871,Lucas Jones,Uruguaya,02-03-1992,15,Economica,FALSO,N15841852,John Mcneil,Chilena,15-06-1981
1687,BTA8394-1687,5779,128,N47846939,John Lee,Italiana,25-01-1996,25,Economica,FALSO,N55362278,Laura Marshall,Chilena,19-05-1991
4782,QAF4466-4782,4052,126,Y33413387,Kimberly Hansen,Argentina,02-07-1989,14,Ejecutiva,FALSO,J34719947,Heather Scott,Estadounidense,02-05-1973
3825,XLE5111-3825,7198,112,W23173820,Gabrielle Alvarez,Argentina,04-11-1992,18,Economica,VERDADERO,Y38354449,Nicole Petty,Estadounidense,07-02-1988
4669,MPH1782-4669,3813,118,Z09262256,Joseph Wilson,Uruguaya,28-07-1993,19,Economica,FALSO,R17782317,Zachary Davenport,Venezolana,29-12-1971
797,ADC6283-0797,3026,127,O85238546,Sheri Mcdonald,Argentina,14-03-1984,29,Economica,FALSO,D76513142,Victoria Brennan,Uruguaya,19-06-1977
1080,LUD5927-1080,1500,102,R56995721,David Keller,Venezolana,24-07-1975,26,Economica,FALSO,Y05451726,Kathleen Johnson,Chilena,24-02-1973
4160,LRC9669-4160,2008,130,W06120402,Adam Clark,Estadounidense,10-06-1993,19,Ejecutiva,FALSO,Q62966391,Patricia Parker,Mexicana,07-08-1994
2339,MPH1782-2339,7043,118,D64763364,James Johnson,Chilena,09-06-1994,16,Primera clase,FALSO,D64763364,James Johnson,Chilena,09-06-1994
3845,KAI3589-3845,99,115,G15489494,Anthony Francis,Argentina,13-02-1988,3,Ejecutiva,FALSO,G15489494,Anthony Francis,Argentina,13-02-1988
905,LAW6318-0905,256,96,F89276118,Todd Wilkins,Italiana,30-01-1991,2,Ejecutiva,FALSO,D46250570,Michael Mcdaniel,Venezolana,04-11-1994
2301,EAL8271-2301,380,117,W23173820,Gabrielle Alvarez,Argentina,04-11-1992,23,Economica,VERDADERO,G15489494,Anthony Francis,Argentina,13-02-1988
1623,XLE3285-1623,190,125,O01507856,James Hunter,Chilena,14-05-1995,31,Economica,VERDADERO,O01507856,James Hunter,Chilena,14-05-1995
3168,ETA7128-3168,694,114,P84627985,Meghan Davis,Chilena,15-11-1970,18,Economica,FALSO,P34583903,Kelsey Huff,Estadounidense,08-08-1972
414,KEA7139-0414,9054,113,Y33413387,Kimberly Hansen,Argentina,02-07-1989,8,Primera clase,VERDADERO,J86333952,Leslie Howard,Venezolana,22-09-1971
4033,IBE8751-4033,4769,124,J86333952,Leslie Howard,Venezolana,22-09-1971,22,Primera clase,FALSO,J34719947,Heather Scott,Estadounidense,02-05-1973
1699,COG4299-1699,8667,129,I19062847,Christopher Garcia,Chilena,06-12-1986,17,Economica,VERDADERO,J76795477,Mikayla White,Argentina,30-09-1984
231,UAN2881-0231,7411,108,N68461604,Gary Vasquez,Chilena,21-11-1984,5,Economica,VERDADERO,G15489494,Anthony Francis,Argentina,13-02-1988
3752,UCA4751-3752,7007,107,Z09262256,Joseph Wilson,Uruguaya,28-07-1993,1,Ejecutiva,VERDADERO,K07643594,Suzanne Goodman,Chilena,16-11-1987
2704,UAN2468-2704,4696,99,X84322989,Mr. Russell Abbott,Chilena,16-11-1984,24,Economica,VERDADERO,T18212951,Joel Compton,Argentina,03-03-1991
4437,UAN2881-4437,7299,108,J46610530,Andrew Torres,Alemana,01-12-1981,4,Economica,FALSO,F15206543,Kristen Harris,Chilena,25-11-1972
4123,QAF4466-4123,9562,126,J39937043,Danielle Johnson,Mexicana,18-12-1981,19,Economica,FALSO,J39937043,Danielle Johnson,Mexicana,18-12-1981
2029,AZI6476-2029,9559,101,J34719947,Heather Scott,Estadounidense,02-05-1973,15,Economica,FALSO,J34719947,Heather Scott,Estadounidense,02-05-1973
3891,EAL8271-3891,1591,117,J86333952,Leslie Howard,Venezolana,22-09-1971,9,Primera clase,VERDADERO,I71542181,Alfred Martin Jr.,Chilena,10-11-1989
2936,QAF6392-2936,569,106,F09235820,Katrina Frye,Chilena,11-10-1995,22,Economica,VERDADERO,Y38354449,Nicole Petty,Estadounidense,07-02-1988
1749,KAI7891-1749,9081,133,I63697476,Emily Sullivan,Venezolana,25-07-1991,29,Ejecutiva,VERDADERO,I71542181,Alfred Martin Jr.,Chilena,10-11-1989
4268,LUD5927-4268,6552,102,V03976673,Mark Greene,Chilena,09-12-1998,17,Economica,FALSO,P84627985,Meghan Davis,Chilena,15-11-1970
736,XLE3285-0736,4997,125,D64763364,James Johnson,Chilena,09-06-1994,2,Economica,VERDADERO,J39937043,Danielle Johnson,Mexicana,18-12-1981
2936,QAF6392-2936,3901,106,F09235820,Katrina Frye,Chilena,11-10-1995,21,Economica,FALSO,F09235820,Katrina Frye,Chilena,11-10-1995
905,LAW6318-0905,1910,96,F89276118,Todd Wilkins,Italiana,30-01-1991,4,Primera clase,FALSO,N49905893,Emma Scott,Chilena,29-07-1989
3999,NCY1133-3999,3904,122,H23592194,Ethan Gilbert,Uruguaya,30-12-1975,13,Economica,VERDADERO,H23592194,Ethan Gilbert,Uruguaya,30-12-1975
414,KEA7139-0414,2613,113,Y33413387,Kimberly Hansen,Argentina,02-07-1989,10,Economica,FALSO,Y33413387,Kimberly Hansen,Argentina,02-07-1989
3298,LUD7177-3298,7618,121,C59429415,Brian Garcia,Chilena,20-04-1992,12,Economica,FALSO,C59429415,Brian Garcia,Chilena,20-04-1992
3409,COG4299-3409,4056,129,X84322989,Mr. Russell Abbott,Chilena,16-11-1984,3,Economica,VERDADERO,X84322989,Mr. Russell Abbott,Chilena,16-11-1984
1433,ADC8249-1433,622,119,N49905893,Emma Scott,Chilena,29-07-1989,5,Economica,VERDADERO,D84069297,Brittany Jones,Uruguaya,30-04-1978
4604,ETA7128-4604,4303,114,C87025090,Diana Frank,Alemana,07-12-1979,5,Economica,FALSO,C87025090,Diana Frank,Alemana,07-12-1979
1515,NCY1133-1515,6582,122,C63211080,Brian Mitchell,Chilena,04-05-1983,7,Economica,FALSO,C63211080,Brian Mitchell,Chilena,04-05-1983
2262,COG7539-2262,5763,111,F69466449,Jennifer Eaton,Chilena,29-08-1995,30,Economica,FALSO,C59429415,Brian Garcia,Chilena,20-04-1992
2543,COG4299-2543,7745,129,N49905893,Emma Scott,Chilena,29-07-1989,8,Ejecutiva,VERDADERO,I71542181,Alfred Martin Jr.,Chilena,10-11-1989
3978,LUD7177-3978,5169,121,G15489494,Anthony Francis,Argentina,13-02-1988,28,Ejecutiva,FALSO,L56496275,Cheryl Bolton,Uruguaya,16-12-1972
2054,BTA9626-2054,5287,103,J39937043,Danielle Johnson,Mexicana,18-12-1981,21,Ejecutiva,FALSO,J39937043,Danielle Johnson,Mexicana,18-12-1981
4490,XLE5111-4490,6554,112,D64763364,James Johnson,Chilena,09-06-1994,20,Ejecutiva,FALSO,D64763364,James Johnson,Chilena,09-06-1994
3405,BTA8394-3405,8512,128,G69357980,Jerry Park,Argentina,28-06-1980,24,Primera clase,FALSO,O01507856,James Hunter,Chilena,14-05-1995
4763,EAL7933-4763,1836,123,D39176940,Patrick Choi,Chilena,26-06-1985,1,Primera clase,VERDADERO,F09235820,Katrina Frye,Chilena,11-10-1995
2578,LAT2175-2578,6024,132,Y88079794,Gregory Bradley,Chilena,18-04-1986,12,Economica,VERDADERO,U37349664,Diane Ritter,Venezolana,05-05-1996
1269,COG7539-1269,8748,111,G04408945,Robert Butler,Argentina,02-02-1974,12,Economica,FALSO,X49704522,James Rojas,Chilena,29-05-1986
531,EAL8271-0531,7091,117,N15841852,John Mcneil,Chilena,15-06-1981,2,Ejecutiva,FALSO,O04335063,Jonathan Sims,Estadounidense,13-04-1974
3333,NCY1133-3333,5854,122,F23633774,Amanda Ruiz,Francesa,09-07-1977,12,Primera clase,FALSO,F23633774,Amanda Ruiz,Francesa,09-07-1977
3825,XLE5111-3825,1600,112,W23173820,Gabrielle Alvarez,Argentina,04-11-1992,25,Primera clase,VERDADERO,J33947155,Amanda Mccarthy,Venezolana,25-08-1995
1331,ETA7128-1331,1388,114,V03976673,Mark Greene,Chilena,09-12-1998,16,Economica,VERDADERO,L94336722,Julia Watkins,Uruguaya,25-08-1995
1970,LAW1134-1970,659,97,Z87364523,Samantha Martin,Alemana,26-03-1981,13,Primera clase,VERDADERO,Z87364523,Samantha Martin,Alemana,26-03-1981
231,UAN2881-0231,7659,108,N68461604,Gary Vasquez,Chilena,21-11-1984,15,Primera clase,VERDADERO,L94336722,Julia Watkins,Uruguaya,25-08-1995
4150,BTA8394-4150,965,128,N15841852,John Mcneil,Chilena,15-06-1981,16,Economica,VERDADERO,N15841852,John Mcneil,Chilena,15-06-1981
2276,KEA7139-2276,2284,113,R17782317,Zachary Davenport,Venezolana,29-12-1971,30,Economica,VERDADERO,Y38354449,Nicole Petty,Estadounidense,07-02-1988
2875,BTA9626-2875,8840,103,G15489494,Anthony Francis,Argentina,13-02-1988,22,Economica,VERDADERO,G15489494,Anthony Francis,Argentina,13-02-1988
2218,UAN2881-2218,4672,108,L97895867,Sarah Williams,Uruguaya,06-11-1992,16,Economica,FALSO,H44001820,Ann Robertson,Venezolana,27-04-1998
2262,COG7539-2262,3500,111,F69466449,Jennifer Eaton,Chilena,29-08-1995,31,Economica,FALSO,R17782317,Zachary Davenport,Venezolana,29-12-1971
4268,LUD5927-4268,5857,102,V03976673,Mark Greene,Chilena,09-12-1998,18,Ejecutiva,VERDADERO,F69466449,Jennifer Eaton,Chilena,29-08-1995
3568,COG3144-3568,8980,98,I71394677,Jessica Macias,Chilena,12-04-1986,14,Primera clase,FALSO,I71394677,Jessica Macias,Chilena,12-04-1986
2262,COG7539-2262,8903,111,F69466449,Jennifer Eaton,Chilena,29-08-1995,14,Economica,VERDADERO,M25657749,Casey Bennett,Estadounidense,12-03-1984
3366,IBE8751-3366,9752,124,D46250570,Michael Mcdaniel,Venezolana,04-11-1994,31,Ejecutiva,VERDADERO,D46250570,Michael Mcdaniel,Venezolana,04-11-1994
174,LUD5927-0174,9451,102,I78807927,Robert Kelly,Chilena,26-02-1975,21,Ejecutiva,FALSO,P11550487,Maria Perez,Francesa,11-08-1996
1090,IBE2338-1090,972,104,G15489494,Anthony Francis,Argentina,13-02-1988,21,Ejecutiva,FALSO,N55362278,Laura Marshall,Chilena,19-05-1991
2556,LRC9669-2556,3521,130,Z87364523,Samantha Martin,Alemana,26-03-1981,12,Economica,VERDADERO,A17367163,Jane Berger,Italiana,29-05-1987
3564,LAW1134-3564,529,97,Y05451726,Kathleen Johnson,Chilena,24-02-1973,29,Primera clase,VERDADERO,R10584802,John Luna,Chilena,04-11-1983
4669,MPH1782-4669,7355,118,Z09262256,Joseph Wilson,Uruguaya,28-07-1993,7,Ejecutiva,FALSO,I63697476,Emily Sullivan,Venezolana,25-07-1991
3037,LRC4743-3037,3142,110,J47009281,Susan Stewart MD,Estadounidense,08-02-1997,21,Primera clase,FALSO,D39176940,Patrick Choi,Chilena,26-06-1985
4473,COG7539-4473,565,111,T18212951,Joel Compton,Argentina,03-03-1991,23,Primera clase,FALSO,T18212951,Joel Compton,Argentina,03-03-1991
1699,COG4299-1699,1598,129,I19062847,Christopher Garcia,Chilena,06-12-1986,29,Economica,FALSO,I19062847,Christopher Garcia,Chilena,06-12-1986
905,LAW6318-0905,35,96,F89276118,Todd Wilkins,Italiana,30-01-1991,22,Economica,FALSO,X49704522,James Rojas,Chilena,29-05-1986
1623,XLE3285-1623,9677,125,O01507856,James Hunter,Chilena,14-05-1995,10,Primera clase,FALSO,V79731274,Corey Elliott,Venezolana,04-10-1979
102,LAT5532-0102,4469,100,G96421276,Alexander Martin,Estadounidense,24-04-1980,17,Economica,VERDADERO,O01507856,James Hunter,Chilena,14-05-1995
3231,NCY5615-3231,8327,116,A40223024,Janice Smith,Argentina,25-03-1993,23,Economica,VERDADERO,A40223024,Janice Smith,Argentina,25-03-1993
4464,LAM9554-4464,2529,109,K07643594,Suzanne Goodman,Chilena,16-11-1987,1,Economica,FALSO,R56995721,David Keller,Venezolana,24-07-1975
2048,LUD5927-2048,4492,102,J86333952,Leslie Howard,Venezolana,22-09-1971,4,Ejecutiva,FALSO,D76513142,Victoria Brennan,Uruguaya,19-06-1977
1082,BTA9626-1082,1152,103,V79731274,Corey Elliott,Venezolana,04-10-1979,20,Primera clase,VERDADERO,O04335063,Jonathan Sims,Estadounidense,13-04-1974
2133,LAW6351-2133,5164,105,Y13424296,Katherine Perez,Mexicana,29-07-1978,10,Ejecutiva,FALSO,F23633774,Amanda Ruiz,Francesa,09-07-1977
3887,NCY5615-3887,2752,116,V03976673,Mark Greene,Chilena,09-12-1998,25,Economica,VERDADERO,V03976673,Mark Greene,Chilena,09-12-1998
3951,MPH1782-3951,4135,118,C59429415,Brian Garcia,Chilena,20-04-1992,15,Primera clase,FALSO,U68917595,Paul Brown,Francesa,24-08-1987
2151,QAF6392-2151,4016,106,Z09262256,Joseph Wilson,Uruguaya,28-07-1993,17,Ejecutiva,VERDADERO,H23592194,Ethan Gilbert,Uruguaya,30-12-1975
843,LAT2175-0843,5094,132,G69357980,Jerry Park,Argentina,28-06-1980,19,Primera clase,VERDADERO,E44895667,Angela Reynolds,Estadounidense,09-08-1982
102,LAT5532-0102,5870,100,G96421276,Alexander Martin,Estadounidense,24-04-1980,2,Economica,VERDADERO,R56995721,David Keller,Venezolana,24-07-1975
4265,AZI6476-4265,3524,101,Q62966391,Patricia Parker,Mexicana,07-08-1994,12,Ejecutiva,FALSO,D84069297,Brittany Jones,Uruguaya,30-04-1978
3817,LRC4743-3817,645,110,D99418548,Alexis Smith,Argentina,21-03-1997,23,Primera clase,VERDADERO,D99418548,Alexis Smith,Argentina,21-03-1997
1195,UAN2881-1195,7768,108,J76795477,Mikayla White,Argentina,30-09-1984,22,Economica,VERDADERO,I07581924,Kelsey Powell,Francesa,10-07-1989
736,XLE3285-0736,3429,125,D64763364,James Johnson,Chilena,09-06-1994,16,Economica,FALSO,N07672370,Kevin Wilson,Uruguaya,11-09-1986
3536,XLE7933-3536,9347,95,G04408945,Robert Butler,Argentina,02-02-1974,31,Economica,VERDADERO,G04408945,Robert Butler,Argentina,02-02-1974
3450,LAM9574-3450,4253,131,A40223024,Janice Smith,Argentina,25-03-1993,14,Primera clase,FALSO,L97895867,Sarah Williams,Uruguaya,06-11-1992
3819,COG7539-3819,8320,111,X84322989,Mr. Russell Abbott,Chilena,16-11-1984,19,Economica,FALSO,X84322989,Mr. Russell Abbott,Chilena,16-11-1984
3080,XLE5111-3080,2397,112,S03830222,Amanda Andrade,Italiana,06-11-1993,4,Ejecutiva,FALSO,F15206543,Kristen Harris,Chilena,25-11-1972
3728,LAW6351-3728,3863,105,J47009281,Susan Stewart MD,Estadounidense,08-02-1997,31,Economica,FALSO,J33947155,Amanda Mccarthy,Venezolana,25-08-1995
3298,LUD7177-3298,2550,121,C59429415,Brian Garcia,Chilena,20-04-1992,30,Primera clase,VERDADERO,Y13424296,Katherine Perez,Mexicana,29-07-1978
4188,KAI7891-4188,4567,133,Y23187711,Vicki Ward,Argentina,31-08-1981,18,Ejecutiva,FALSO,V79731274,Corey Elliott,Venezolana,04-10-1979
2515,QAF4466-2515,2957,126,T18212951,Joel Compton,Argentina,03-03-1991,27,Ejecutiva,VERDADERO,X91486662,Heather Smith,Chilena,13-11-1976
1195,UAN2881-1195,4922,108,J76795477,Mikayla White,Argentina,30-09-1984,13,Ejecutiva,VERDADERO,T59160871,Lucas Jones,Uruguaya,02-03-1992
736,XLE3285-0736,5200,125,D64763364,James Johnson,Chilena,09-06-1994,17,Economica,VERDADERO,I63697476,Emily Sullivan,Venezolana,25-07-1991
1618,IBE8751-1618,1291,124,N47846939,John Lee,Italiana,25-01-1996,20,Economica,FALSO,P84627985,Meghan Davis,Chilena,15-11-1970
221,QAF6392-0221,4011,106,F69466449,Jennifer Eaton,Chilena,29-08-1995,15,Ejecutiva,VERDADERO,A17367163,Jane Berger,Italiana,29-05-1987
1722,LRC9669-1722,5956,130,N07672370,Kevin Wilson,Uruguaya,11-09-1986,14,Ejecutiva,VERDADERO,N07672370,Kevin Wilson,Uruguaya,11-09-1986
4268,LUD5927-4268,7160,102,V03976673,Mark Greene,Chilena,09-12-1998,19,Economica,VERDADERO,C59429415,Brian Garcia,Chilena,20-04-1992
3366,IBE8751-3366,9078,124,D46250570,Michael Mcdaniel,Venezolana,04-11-1994,3,Ejecutiva,FALSO,D76513142,Victoria Brennan,Uruguaya,19-06-1977
3037,LRC4743-3037,198,110,J47009281,Susan Stewart MD,Estadounidense,08-02-1997,14,Primera clase,FALSO,J47009281,Susan Stewart MD,Estadounidense,08-02-1997
4634,KAI3589-4634,9658,115,T72132858,Kathy Luna,Chilena,13-07-1990,28,Ejecutiva,FALSO,T72132858,Kathy Luna,Chilena,13-07-1990
174,LUD5927-0174,4219,102,I78807927,Robert Kelly,Chilena,26-02-1975,23,Economica,VERDADERO,O41678476,Andrew Malone,Argentina,24-06-1996
1733,LAT2175-1733,2237,132,J46009647,Erica Ochoa,Italiana,11-03-1994,11,Primera clase,FALSO,S03830222,Amanda Andrade,Italiana,06-11-1993
4831,BTA8394-4831,2014,128,F23633774,Amanda Ruiz,Francesa,09-07-1977,32,Ejecutiva,VERDADERO,J47009281,Susan Stewart MD,Estadounidense,08-02-1997
4922,LRC9669-4922,1358,130,J46009647,Erica Ochoa,Italiana,11-03-1994,21,Economica,VERDADERO,Y33413387,Kimberly Hansen,Argentina,02-07-1989
2271,XLE5111-2271,7900,112,P84627985,Meghan Davis,Chilena,15-11-1970,11,Primera clase,VERDADERO,P84627985,Meghan Davis,Chilena,15-11-1970
3147,KEA7139-3147,1798,113,J39937043,Danielle Johnson,Mexicana,18-12-1981,19,Economica,VERDADERO,J39937043,Danielle Johnson,Mexicana,18-12-1981
3712,IBE2338-3712,34,104,U37349664,Diane Ritter,Venezolana,05-05-1996,20,Economica,FALSO,N49905893,Emma Scott,Chilena,29-07-1989
2262,COG7539-2262,1834,111,F69466449,Jennifer Eaton,Chilena,29-08-1995,13,Economica,FALSO,A17367163,Jane Berger,Italiana,29-05-1987
1,XLE7933-0001,8241,95,E44895667,Angela Reynolds,Estadounidense,09-08-1982,7,Primera clase,FALSO,V03976673,Mark Greene,Chilena,09-12-1998
1090,IBE2338-1090,8012,104,G15489494,Anthony Francis,Argentina,13-02-1988,6,Primera clase,FALSO,S05106445,Gregory Andrade,Mexicana,20-12-1984
2616,XLE7933-2616,4061,95,I71542181,Alfred Martin Jr.,Chilena,10-11-1989,23,Primera clase,FALSO,I71542181,Alfred Martin Jr.,Chilena,10-11-1989
3588,UAN2468-3588,7436,99,P34583903,Kelsey Huff,Estadounidense,08-08-1972,9,Economica,VERDADERO,D46250570,Michael Mcdaniel,Venezolana,04-11-1994
219,LAW6351-0219,213,105,L56496275,Cheryl Bolton,Uruguaya,16-12-1972,12,Primera clase,FALSO,T33834498,Alejandro Allen,Chilena,20-05-1992
4926,LAM9574-4926,5311,131,A17367163,Jane Berger,Italiana,29-05-1987,19,Ejecutiva,FALSO,I19062847,Christopher Garcia,Chilena,06-12-1986
4831,BTA8394-4831,5977,128,F23633774,Amanda Ruiz,Francesa,09-07-1977,12,Primera clase,VERDADERO,B30315997,Tina Shaw,Estadounidense,26-10-1996
4831,BTA8394-4831,8483,128,F23633774,Amanda Ruiz,Francesa,09-07-1977,18,Primera clase,FALSO,R56995721,David Keller,Venezolana,24-07-1975
4177,LAM9574-4177,6192,131,Z09262256,Joseph Wilson,Uruguaya,28-07-1993,3,Economica,VERDADERO,X49704522,James Rojas,Chilena,29-05-1986
4222,LAW6318-4222,9663,96,N49905893,Emma Scott,Chilena,29-07-1989,25,Economica,VERDADERO,O41678476,Andrew Malone,Argentina,24-06-1996
1927,LAW6318-1927,2427,96,N24258653,Kayla Douglas,Uruguaya,28-04-1970,11,Economica,VERDADERO,J34719947,Heather Scott,Estadounidense,02-05-1973
3080,XLE5111-3080,6168,112,S03830222,Amanda Andrade,Italiana,06-11-1993,12,Primera clase,VERDADERO,D99418548,Alexis Smith,Argentina,21-03-1997
2193,UCA4751-2193,5705,107,Y23187711,Vicki Ward,Argentina,31-08-1981,8,Ejecutiva,FALSO,Y23187711,Vicki Ward,Argentina,31-08-1981
3287,MPH1782-3287,977,118,F69466449,Jennifer Eaton,Chilena,29-08-1995,12,Primera clase,FALSO,K07643594,Suzanne Goodman,Chilena,16-11-1987
1251,LRC4743-1251,4719,110,S03830222,Amanda Andrade,Italiana,06-11-1993,3,Economica,FALSO,S03830222,Amanda Andrade,Italiana,06-11-1993
219,LAW6351-0219,6873,105,L56496275,Cheryl Bolton,Uruguaya,16-12-1972,21,Primera clase,VERDADERO,J76795477,Mikayla White,Argentina,30-09-1984
4160,LRC9669-4160,3507,130,W06120402,Adam Clark,Estadounidense,10-06-1993,20,Primera clase,VERDADERO,L94336722,Julia Watkins,Uruguaya,25-08-1995
807,BTA8394-0807,3196,128,D76513142,Victoria Brennan,Uruguaya,19-06-1977,28,Primera clase,VERDADERO,V39868007,Cassandra Kirby,Chilena,02-04-1997
842,LAM9574-0842,3430,131,K07643594,Suzanne Goodman,Chilena,16-11-1987,4,Economica,VERDADERO,O04335063,Jonathan Sims,Estadounidense,13-04-1974
1288,KEA7139-1288,1701,113,S03830222,Amanda Andrade,Italiana,06-11-1993,3,Ejecutiva,VERDADERO,G15489494,Anthony Francis,Argentina,13-02-1988
2151,QAF6392-2151,7842,106,Z09262256,Joseph Wilson,Uruguaya,28-07-1993,16,Ejecutiva,FALSO,Z09262256,Joseph Wilson,Uruguaya,28-07-1993
2465,NCY1133-2465,9726,122,G69357980,Jerry Park,Argentina,28-06-1980,9,Economica,VERDADERO,G69357980,Jerry Park,Argentina,28-06-1980
4646,NCY5615-4646,1876,116,I19062847,Christopher Garcia,Chilena,06-12-1986,32,Economica,FALSO,Y33413387,Kimberly Hansen,Argentina,02-07-1989
444,KAI3589-0444,1369,115,X66304032,Victoria Odom,Francesa,04-12-1986,29,Economica,VERDADERO,J46610530,Andrew Torres,Alemana,01-12-1981
3817,LRC4743-3817,33,110,D99418548,Alexis Smith,Argentina,21-03-1997,25,Primera clase,FALSO,C63211080,Brian Mitchell,Chilena,04-05-1983
4241,COG3144-4241,4257,98,X66304032,Victoria Odom,Francesa,04-12-1986,4,Economica,FALSO,J33947155,Amanda Mccarthy,Venezolana,25-08-1995
4782,QAF4466-4782,9988,126,Y33413387,Kimberly Hansen,Argentina,02-07-1989,31,Economica,FALSO,N15841852,John Mcneil,Chilena,15-06-1981
4396,LAW6351-4396,8613,105,O01507856,James Hunter,Chilena,14-05-1995,27,Primera clase,VERDADERO,W06120402,Adam Clark,Estadounidense,10-06-1993
4437,UAN2881-4437,2955,108,J46610530,Andrew Torres,Alemana,01-12-1981,3,Ejecutiva,VERDADERO,Y88079794,Gregory Bradley,Chilena,18-04-1986
3180,KAI3589-3180,753,115,M25657749,Casey Bennett,Estadounidense,12-03-1984,13,Ejecutiva,FALSO,H23592194,Ethan Gilbert,Uruguaya,30-12-1975
3679,BTA9626-3679,2661,103,J76795477,Mikayla White,Argentina,30-09-1984,13,Ejecutiva,VERDADERO,F23633774,Amanda Ruiz,Francesa,09-07-1977
1113,LAW6351-1113,4246,105,J34719947,Heather Scott,Estadounidense,02-05-1973,29,Economica,FALSO,E44895667,Angela Reynolds,Estadounidense,09-08-1982
4771,IBE8751-4771,6623,124,I63697476,Emily Sullivan,Venezolana,25-07-1991,16,Economica,FALSO,F70729457,Justin Hudson,Chilena,12-02-1994
3421,LRC9669-3421,540,130,B30315997,Tina Shaw,Estadounidense,26-10-1996,16,Primera clase,FALSO,B30315997,Tina Shaw,Estadounidense,26-10-1996
2280,ETA7128-2280,2691,114,N24258653,Kayla Douglas,Uruguaya,28-04-1970,7,Economica,VERDADERO,U37349664,Diane Ritter,Venezolana,05-05-1996
1433,ADC8249-1433,2921,119,N49905893,Emma Scott,Chilena,29-07-1989,21,Economica,FALSO,Z87364523,Samantha Martin,Alemana,26-03-1981
2616,XLE7933-2616,6924,95,I71542181,Alfred Martin Jr.,Chilena,10-11-1989,24,Ejecutiva,VERDADERO,R10584802,John Luna,Chilena,04-11-1983
372,LRC4743-0372,7782,110,L87663260,Heather Bolton,Estadounidense,17-09-1982,12,Ejecutiva,VERDADERO,L87663260,Heather Bolton,Estadounidense,17-09-1982
616,ETA6742-0616,4865,120,L87663260,Heather Bolton,Estadounidense,17-09-1982,3,Economica,FALSO,Y13424296,Katherine Perez,Mexicana,29-07-1978
1269,COG7539-1269,1856,111,G04408945,Robert Butler,Argentina,02-02-1974,5,Primera clase,FALSO,D99418548,Alexis Smith,Argentina,21-03-1997
1436,ETA6742-1436,1540,120,D39176940,Patrick Choi,Chilena,26-06-1985,11,Ejecutiva,VERDADERO,T33834498,Alejandro Allen,Chilena,20-05-1992
435,ETA7128-0435,251,114,O04335063,Jonathan Sims,Estadounidense,13-04-1974,30,Primera clase,VERDADERO,O04335063,Jonathan Sims,Estadounidense,13-04-1974
3679,BTA9626-3679,8449,103,J76795477,Mikayla White,Argentina,30-09-1984,23,Economica,VERDADERO,J76795477,Mikayla White,Argentina,30-09-1984
1927,LAW6318-1927,2779,96,N24258653,Kayla Douglas,Uruguaya,28-04-1970,30,Economica,FALSO,N24258653,Kayla Douglas,Uruguaya,28-04-1970
3147,KEA7139-3147,3910,113,J39937043,Danielle Johnson,Mexicana,18-12-1981,9,Primera clase,FALSO,X84322989,Mr. Russell Abbott,Chilena,16-11-1984
4470,LRC4743-4470,3824,110,X84322989,Mr. Russell Abbott,Chilena,16-11-1984,11,Ejecutiva,FALSO,I19062847,Christopher Garcia,Chilena,06-12-1986
25,COG3144-0025,2415,98,J34719947,Heather Scott,Estadounidense,02-05-1973,11,Economica,FALSO,J46009647,Erica Ochoa,Italiana,11-03-1994
1269,COG7539-1269,4386,111,G04408945,Robert Butler,Argentina,02-02-1974,3,Primera clase,VERDADERO,N07672370,Kevin Wilson,Uruguaya,11-09-1986
4241,COG3144-4241,2496,98,X66304032,Victoria Odom,Francesa,04-12-1986,17,Primera clase,FALSO,C59429415,Brian Garcia,Chilena,20-04-1992
945,LAW1134-0945,1610,97,N15841852,John Mcneil,Chilena,15-06-1981,12,Primera clase,FALSO,N55362278,Laura Marshall,Chilena,19-05-1991
